order_id,tanggal_order,marketplace,produk_id,produk_nama,kategori,qty,harga_satuan,total_order,diskon,ongkir,status,refund_status,refund_amount
TOP947258254122,2025-02-01,Tokopedia,P006,Maru Sneakers Hike,Outdoor,2,359000,650083,67917,19221,Dikirim,Tersedia,63556
ORD5847520871074475,2025-02-01,Shopee,P007,Maru Sandal Malam,Formal,2,319000,575916,62084,21184,Dikirim,Tersedia,33097
TOP427223266639,2025-02-01,Tokopedia,P001,Maru Slip-On Kasual,Kasual,1,249000,160828,88172,15686,Dikirim,Tidak Ada,0
BLI1972917489,2025-02-01,Blibli,P009,Maru Sneakers Olahraga,Olahraga,3,399000,1160058,36942,21358,Dikirim,Tidak Ada,0
ORD5814733507616072,2025-02-01,Shopee,P008,Maru Glam Heels,Formal,2,479000,899578,58422,12096,Dikirim,Tidak Ada,0
BLI9100699765,2025-02-01,Blibli,P007,Maru Sandal Malam,Formal,2,319000,573549,64451,10051,Dikirim,Tidak Ada,0
ORD1568038298426295,2025-02-01,Shopee,P001,Maru Slip-On Kasual,Kasual,3,249000,718259,28741,19164,Dikirim,Tidak Ada,0
TOP600928800820,2025-02-01,Tokopedia,P002,Maru Loafer Elegan,Formal,3,279000,812393,24607,28077,Dikirim,Tidak Ada,0
ORD4092016608468717,2025-02-01,Shopee,P002,Maru Loafer Elegan,Formal,3,279000,738476,98524,19253,Dikirim,Tidak Ada,0
ORD1699909300370076,2025-02-01,Shopee,P007,Maru Sandal Malam,Formal,4,319000,1271718,4282,10508,Dikirim,Tidak Ada,0
BLI2541944332,2025-02-01,Blibli,P006,Maru Sneakers Hike,Outdoor,4,359000,1346147,89853,14821,Dikirim,Tidak Ada,0
TOP344787119590,2025-02-01,Tokopedia,P008,Maru Glam Heels,Formal,2,479000,929631,28369,12992,Dikirim,Tidak Ada,0
TOP683951972832,2025-02-01,Tokopedia,P007,Maru Sandal Malam,Formal,4,319000,1190303,85697,23163,Dikirim,Tidak Ada,0
ORD0779131520286415,2025-02-01,Shopee,P007,Maru Sandal Malam,Formal,4,319000,1268751,7249,23395,Dikirim,Tidak Ada,0
BLI8546320805,2025-02-01,Blibli,P002,Maru Loafer Elegan,Formal,2,279000,471546,86454,20838,Dikirim,Tidak Ada,0
BLI8807130896,2025-02-01,Blibli,P005,Maru Boots Petualangan,Outdoor,4,499000,1941784,54216,22357,Dikirim,Tidak Ada,0
LAZ0135038078,2025-02-01,Lazada,P008,Maru Glam Heels,Formal,4,479000,1910522,5478,24717,Dikirim,Tidak Ada,0
ORD4875956388451219,2025-02-01,Shopee,P002,Maru Loafer Elegan,Formal,4,279000,1115552,448,28438,Dikirim,Tidak Ada,0
